word,translation
ich,I
sie,she
das,the
ist,is
du,of
nicht,not
die,die
es,es
und,and
der,the
wir,we
was,was
zu,to
er,is
ein,a
in,in
ja,and
mir,mir
mit,with
wie,How
den,the
mich,mich
auf,on
dass,that
aber,but
eine,one
so,so
hat,hat
hier,here
haben,have
für,for
sind,are
war,war
von,von
wenn,if
dich,you
ihr,her
nein,no
habe,have
an,an
bin,bin
noch,still
nur,only
da,and
dir,dir
sich,itself
einen,a
uns,us
hast,hast
dem,dem
kann,can
gut,gut
auch,also
schon,already
als,as
sein,be
mal,mal
jetzt,now
ihn,him
dann,then
aus,out of
meine,mine
um,one
im,im
wird,becomes
mein,mein
bist,are
doch,but
alles,everything
weiß,white
keine,no
oder,or
nach,after
s,s
nichts,nothing
man,man
muss,must
werden,become
will,will
ihnen,them
geht,goes
wo,wo
etwas,something
oh,oh
mehr,more
bei,at
also,also
bitte,please
immer,always
hab,hab
warum,Why
vor,before
los,los
können,can
wieder,again
sagen,say
machen,make
danke,Thanks
sehr,very
alle,at
mann,mann
tun,again
ihm,him
zum,for the
gehen,go
sehen,see
vielleicht,perhaps
einem,one
wer,wer
ihre,her
diese,this
euch,you
einer,one
komm,come on
über,above
gibt,gives
okay,okay
wissen,knowledge
deine,your
müssen,must
soll,should
werde,become
nie,NO
wirklich,really
hey,hey
kein,no
viel,much
weg,away
würde,would
tut,tut
am,am
des,of the
einfach,simply
leben,life
zeit,time
weil,weil
willst,want
kommen,come
dein,your
heute,today
kommt,comes
wollen,want
damit,with it
ganz,quite
wäre,were
wollte,wanted
weißt,know
ok,ok
sicher,secure
gesagt,said
nun,nun
bis,bis
wurde,became
leid,sorrow
na,already
kannst,can
macht,might
dieser,this
zurück,back
lassen,let
hallo,hallo
meinen,mean
gott,good
seine,seine
hätte,would have
zwei,two
genau,Exactly
waren,were
zur,to
lass,lass
klar,clear
morgen,morning
leute,people
vater,father
schön,schön
glaube,believe
mr.,mr.
ab,ab
gerade,straight
tag,tag
gesehen,seen
reden,rode
wohl,probably
liebe,love
sollte,should
sagte,said
unsere,our
jemand,someone
geld,money
durch,through
ob,ob
keinen,none
raus,out
gemacht,made
paar,pair
mach,mach
passiert,happened
dachte,thought
besser,better
musst,must
wieso,how come
sir,sir
dieses,this
selbst,himself
gehört,heard
möchte,want
ohne,without
hör,hear
her,her
sag,sag
meiner,mine
anderen,others
helfen,help
nacht,night
finden,find
diesen,this one
gute,good
wirst,will
lange,lange
natürlich,naturally
ach,ach
meinem,my
gar,gar
ins,ins
sei,be
dort,there
weiter,further
geben,give
seit,since
gleich,even
sagt,says
recht,right
ihren,your
richtig,correct
ordnung,order
vom,from the
hören,hear
sieht,sees
davon,of that
dafür,for that
geh,go
diesem,this one
hause,home
sollten,should
mädchen,girl
hin,hin
sollen,should
abend,abend
haus,haus
denke,think
viele,many
drei,three
freund,freund
guten,good
unser,our
warte,worth
machst,do
menschen,people
essen,essen
angst,angst
bleiben,remain
zusammen,together
welt,welt
unter,under
habt,have
schnell,fast
andere,Others
tot,until
getan,did
darf,may
erst,first
rein,rein
stimmt,true
nehmen,take
kinder,kinder
eines,one
glauben,believe
ganze,whole
genug,enough
scheiße,Fuck
brauchen,need
gegen,against
moment,moment
junge,boy
steht,stands
sonst,otherwise
musik,music
arbeit,work
seid,seid
ihrer,of their
fragen,questions
herr,herr
dabei,included
heißt,is called
familie,family
warten,wait
niemand,nobody
sofort,immediately
bevor,before
jahre,years
einmal,once
problem,problem
sohn,sohn
wann,if
brauche,need
fertig,complete
halt,halt
allein,alone
beim,at the
sprechen,speak
beide,both
gefunden,found
hatten,had
sache,matter
hilfe,help
verdammt,damned
ne,it is
jeder,everyone
warst,were
gern,gladly
konnte,could
darüber,about it
halten,hold
siehst,see
verstehe,understand
jahren,years
kam,came
kind,kind
wusste,knew
wahr,true
seinen,his
dazu,in addition
bruder,brother
daran,to it
ihrem,theirs
denken,think
könnten,could
dank,dank
würden,would
lieber,lieber
fall,fall
deiner,yours
sehe,see
egal,doesn't matter
kennen,know
deinem,yours
vergessen,forget
frage,ask
mache,mache
komme,come
sage,sage
mag,mag
sieh,see
echt,Real
gib,gib
eigentlich,actually
jeden,one
dad,dad
gab,gab
uhr,clock
stadt,city
männer,men
baby,baby
fahren,drive
namen,names
bekommen,receive
kopf,kopf
hi,hi
gehe,go
kleine,little
später,later
glück,happiness
letzte,last
freunde,friends
n,n
all,all
ende,end
dr.,dr.
bald,bald
töten,kill
dinge,things
meinst,mean
toll,toll
eins,like
minuten,minutes
vielen,many
bereit,ready
weit,far
ahnung,idea
seiner,his
bisschen,a little
tür,type
auto,auto
jungs,guys
eure,your
augen,eyes
polizei,police
sterben,die
hätten,would have
draußen,outside
fast,fast
runter,down
vorbei,over
treffen,meet
gerne,Gladly
dran,your turn
wurden,became
arbeiten,work
mom,mom
verrückt,crazy
neue,new
ging,went
hinter,behind
sorgen,care for
einzige,only
jemanden,someone
darum,therefore
tochter,daughter
braucht,needs
schwester,sister
drin,inside
ruhig,quiet
sah,sah
ganzen,entire
spät,late
ziemlich,quite
solltest,should
name,name
sogar,even
kurz,kurz
kerl,Guy
frauen,women
liegt,lies
suchen,seek
finde,find
je,is
woher,from where
lang,lang
job,job
keiner,none
seinem,his
hört,heard
verstehen,understand
spielen,spielen
s.,s.
teufel,devil
verstanden,understood
verloren,lost
große,size
hand,hand
grund,reason
jahr,year
kommst,come
mama,mama
ruhe,quiet
gewesen,been
tod,tod
stunden,hours
hoffe,hope
denkst,think
oben,above
versuchen,attempt
art,art
letzten,last
schatz,schatz
endlich,finally
he,he
nimm,take
etwa,approximately
erzählt,told
läuft,running
schwer,difficult
anders,anders
miss,miss
musste,had to
fünf,five
wasser,water
lässt,leaves
erste,first
versucht,tried
gekommen,came
geschichte,story
wenig,few
holen,fetch
bedeutet,means
nett,nett
wahrheit,truth
woche,week
bringt,brings
welche,which
bestimmt,certainly
hoch,hoch
alter,alter
sagst,say
schau,look
ah,ah
land,land
zimmer,zimmer
wagen,dare
vier,four
gefallen,fallen
spaß,fun
niemals,never
schuld,debt
getötet,killed
wollten,wanted to
verlassen,leave
zeigen,show
beste,other
ernst,ernst
unserer,ours
denen,those
ort,ort
bleibt,remains
würdest,would
manchmal,sometimes
glaubst,believe
seite,page
lasst,leaves
zwischen,between
eben,eben
während,while
spiel,spiel
nehme,take
ersten,first
guter,goods
chance,chance
freundin,girlfriend
krieg,krieg
gefällt,pleases
kleinen,small
erzählen,tell
anderes,other
tage,take
entschuldigen,excuse
wichtig,important
gehst,go
allen,allen
bett,bett
mrs.,mrs.
sachen,things
the,the
schlecht,bad
schule,school
entschuldigung,excuse
wort,wort
john,john
hättest,would have
wären,would be
typ,typ
schlafen,sleep
äh,uh
tu,tu
euer,euer
captain,captain
gesicht,face
falls,falls
neuen,new
bloß,just
unten,below
teil,part
beiden,both
mensch,mensch
kleiner,kleiner
stellen,place
oft,oft
sorge,arises
gedacht,thought
tust,do
trinken,drink
einige,some
dies,dies
ding,ding
unseren,ours
blut,blood
ehrlich,ehrlich
eltern,parents
scheint,appears
herz,herz
jack,jack
glücklich,happy
alte,other
alt,alt
bleib,stay
wiedersehen,see you again
frei,frei
wen,wen
drauf,on it
möglich,possible
irgendwie,somehow
reicht,suffices
fest,fest
besten,best
waffe,weapon
kaum,races
irgendwas,anything
klingt,sounds
platz,platz
brauchst,need
rede,network
papa,papa
falsch,incorrect
alten,old
nummer,number
früher,earlier
jungen,boys
wohin,where
außer,except
früh,early
setzen,set
zuerst,first
wahrscheinlich,probably
dürfen,may
jede,every
arsch,ass
telefon,telephone
tue,tue
kennst,know
willkommen,welcome
plan,plan
großen,huge
retten,the court
hierher,here
wär,would be
bring,bring
wollt,wanted
dollar,dollar
zehn,ten
allem,everything
pass,pass
nächste,next
stunde,hour
hände,hands
gegeben,given
menge,crowd
langsam,slow
bereits,already
wartet,waits
sechs,six
lieben,love
meines,mine
büro,office
nächsten,next
gebe,give
wochen,weeks
ruf,ruf
schaffen,create
leider,unfortunately
scheiß,shit
hölle,hell
trotzdem,despite it
doktor,doctor
tja,there
new,new
voll,full
film,film
überall,everywhere
hund,dog
geworden,become
wolltest,wanted
tat,tat
denkt,thinks
schiff,schiff
neues,new
wem,wem
könig,könig
danach,thereafter
funktioniert,functions
hattest,had
lernen,learn
deswegen,because of this
wow,wow
nennen,to name
hm,hm
feuer,feuer
laufen,run
alleine,alone
völlig,fully
kleines,small
könnt,can
stelle,Job
kumpel,Dude
verlieren,lose
probleme,problems
spricht,speaks
kaffee,coffee
luft,luft
fand,found
entschuldige,sorry
ziehen,pull
verschwinden,disappear
könntest,could
seht,look
aufhören,stop
eigenen,own
richtige,right one
unserem,ours
suche,search
zwar,that is
groß,large
hol,hol
buch,buch
krank,sick
fühle,feel
verstehst,understand
wert,wert
arzt,physician
froh,glad
versuche,try
straße,street
rufen,call
heiraten,marry
super,super
sam,sam
lebt,lives
gutes,good
lasse,lasse
onkel,uncle
total,total
gebracht,brought
party,party
erklären,explain
spielt,plays
wahl,wahl
vertrauen,trust
tagen,meetings
leicht,light
nachdem,after
gegangen,gone
gefühl,feeling
kaufen,kaufen
geschafft,done
typen,the type
interessiert,interested
möchten,want
halte,hold
hält,holds
glaub,believe
irgendwo,somewhere
stück,piece
genauso,just as
kennt,knows
genommen,taken
zukunft,future
weniger,fewer
cool,cool
licht,licht
getroffen,met
himmel,heaven
nachricht,news
drüben,over there
passt,fits
kümmern,take care
laut,sea
vergiss,forget
angerufen,called
sitzen,sit
daß,that
erde,earth
großer,greater
schlüssel,key
rest,rest
passieren,happen
eher,rather
gefragt,asked
gefängnis,jail
opfer,victim
körper,body
solche,such
mist,mist
mr,mr
findet,finds
schreiben,write
böse,evil
gesprochen,spoken
versuch,attempt
vorstellen,introduce
wovon,About what
sobald,as soon as
nochmal,again
herren,herren
sex,sex
waffen,waffen
wohnung,apartment
weh,weh
heißen,be called
krankenhaus,hospital
bringe,bring
höre,listen
millionen,millions
klasse,class
hart,hart
worden,become
sinn,sinn
außerdem,aside from that
verletzt,injured
ändern,change
erfahren,experience
tragen,carry
wenigstens,at least
vorsichtig,cautious
daddy,daddy
stolz,stolz
stark,stark
fällt,falls
möchtest,would like
leuten,people
besonders,particularly
schöne,lovely
schicken,send
person,person
schätze,guess
solange,solange
länger,longer
großartig,great
lacht,laughs
anrufen,call
stand,stand
redest,talk
fühlen,feel
erwartet,expected
boden,boden
boss,boss
stimme,agree
glaubt,believes
still,still
sicherheit,security
setz,put
ma,ma
mund,can
kämpfen,battle
wisst,know
lachen,laugh
hörst,hear
zeug,things
lustig,lustig
sollst,you should
hasse,rush
schlimm,terrible
o,o
unglaublich,incredible
wärst,would be
laden,laden
führen,lead
gestorben,died
schauen,look
meinung,opinion
lesen,read
mörder,murderer
frank,frank
ähm,um
geschehen,happen
geschäft,business
idiot,idiot
verzeihung,forgiveness
fliegen,fly
zeig,show
team,team
general,general
mike,mike
aufs,onto
york,york
vorher,previously
schluss,ending
schneller,more quickly
liebt,loves
verdient,earned
mögen,like
meisten,most
denk,think
umgebracht,killed
perfekt,perfect
versprochen,promised
handy,handy
hinten,rear
monate,fun
erinnere,remember
acht,act
arbeitet,is working
fallen,fallen
rufe,cover
nötig,necessary
a,a
mord,murder
heraus,out of here
tages,tages
unmöglich,impossible
liebling,darling
charlie,charlie
folgen,consequences
bitten,bitten
behalten,keep
nähe,vicinity
arbeite,work
joe,joe
verdammte,damn
plötzlich,suddenly
lebens,life
hole,hole
michael,michael
hörte,heard
jemals,ever
liegen,lay
verkaufen,sell
gefährlich,dangerous
anfangen,begin
bekommt,receives
machte,made
ha,ha
hotel,hotel
hilft,helps
werdet,will
meister,meister
kampf,kampf
antwort,answer
konnten,could
jedem,each
obwohl,although
sieben,seven
komisch,funny
gewinnen,win
ihres,hers
bezahlt,paid
you,you
voller,full of
unterwegs,on the way
dumm,dumb
ärger,aggravation
bild,bild
george,george
neu,neu
bezahlen,pay
dagegen,against it
seien,be
starb,died
tom,tom
monaten,months
leiche,corpse
niemanden,nobody
auge,eye
arschloch,asshole
verheiratet,married
peter,peter
zieh,pull
nimmt,takes
gerettet,rescued
agent,agent
traum,dream
entscheidung,decision
schlimmer,worse
regeln,regulate
fenster,window
fangen,catch
fort,fort
ständig,constant
findest,find
gefahr,danger
absolut,absolut
mary,mary
augenblick,augenblick
bescheid,notice
rum,rum
gedanken,thoughts
werd,became
ziel,goal
benutzt,used
bewegung,movement
jemandem,someone
wünschte,wished
worte,words
kamen,kamen
welcher,which
zahlen,pay
anfang,beginning
legen,place
erinnerst,remember
anwalt,attorney
fahr,fahr
sitzt,sits
hilf,help
offen,open
schönen,beautiful
monsieur,Sir
müsste,would have to
arme,armed
bier,bier
fürs,for
partner,partner
klein,klein
david,david
klappe,flap
süß,sweet
herum,around
finger,finger
ehe,before
rolle,rolle
ließ,let
gleiche,same
monat,month
hochzeit,wedding
max,max
führt,leads
paris,paris
wach,awake
wozu,for what reason
arm,arm
geschrieben,written
chef,chef
benutzen,use
informationen,information
erledigt,completed
hoffentlich,hopefully
müsst,must
fühlt,feels
tanzen,dance
ansehen,view
darfst,may
zuhause,at home
wunderbar,wonderful
reise,travel
gewonnen,won
dame,dame
irgendwann,sometime
chffffff,chffffff
alex,alex
steckt,plugged
jedenfalls,anyway
schreit,cries
tolle,tolle
rüber,over
tschüss,bye
nennt,calls
raum,space
heiß,hot
foto,Photo
kalt,called
paul,paul
irgendetwas,anything
weile,while
bisher,until now
minute,minute
unbedingt,absolutely
zug,zug
sekunden,seconds
wofür,for what
erzähl,tell
nen,nen
beweise,proofs
aller,go
freut,happy
seele,soul
schießen,shoot
müde,tired
dauert,lasts
magst,like
harry,harry
brief,brief
gelernt,learned
sucht,seeks
bekannt,known
weitere,more
unfall,accident
dahin,there
kontrolle,control
beispiel,example
lady,lady
dasselbe,the same thing
herzen,hearts
wütend,angry
weise,weise
damen,damen
darin,darin
gottes,God
holt,holt
fehlt,missing
vorsicht,caution
heiße,name is
beweisen,prove
gehabt,had
zumindest,at least
vermisst,missing
hübsch,pretty
kriegt,gets
verbindung,connection
tief,deep
richtung,direction
lage,lage
sowieso,anyway
kraft,kraft
normal,normal
lauf,run
ehre,honor
stell,care
geschenk,gift
bar,bar
tasche,bag
gelesen,read
gekauft,bought
wussten,knew
gestohlen,stolen
hunger,hunger
leg,leg
lügen,lie
beziehung,relationship
ben,ben
verschwunden,disappeared
steh,stand
nächstes,next
gearbeitet,worked
preis,preis
witz,joke
meinte,said
liste,list
geist,geist
neben,next to
gesucht,wanted
firma,business
rücken,back
schrecklich,terrible
letzter,last
verliebt,in love
öffnen,open
redet,talks
boot,boot
seltsam,strange
versteckt,hidden
fürchte,fear
verschwinde,disappear
erwischt,caught
verkauft,sold
tante,many
erwarten,expect
pferd,horse
wunder,wunder
sauer,sauer
vermutlich,allegedly
major,major
jung,jung
majestät,majesty
aussehen,look
ans,ans
de,of
and,and
links,links
großes,big
welches,which
beschützen,to protect
geboren,born
erreichen,to reach
punkt,point
kindern,children
kirche,church
verraten,betrayed
selber,himself
befehl,command
colonel,colonel
fährt,moves
zieht,pulls
geburtstag,birthday
haut,high
wette,laws
reich,reich
sekunde,seconds
fahre,drive
schwöre,swear
geredet,talked
james,james
madame,madame
eigene,own
zeiten,times
traurig,sad
anruf,call
nachrichten,news
frieden,frieden
karte,map
güte,quality
euren,their
diesmal,this time
schade,injury
persönlich,personal
kriege,get
stirbt,dies
bleibe,stay
verändert,changed
sonne,sonne
lieb,lieb
nämlich,namely
letztes,last
bekam,got
ruft,calls
professor,professor
gericht,focused
nase,nose
ewig,eternal
singen,to sing
bank,bank
beschäftigt,busy
computer,computer
yeah,yeah
toten,kill
weihnachten,Christmas
offensichtlich,apparently
naja,Oh well
henry,henry
gefühle,feelings
fuß,foot
show,show
überraschung,surprise
geheimnis,secret
fbi,fbi
kontakt,contact
gold,gold
drogen,drugs
regierung,government
wein,wein
kriegst,you get
ermordet,murdered
fotos,Photos
entfernt,removed
geschlafen,slept
manche,some
erledigen,complete
ran,ran
gegenüber,opposite
schlaf,sleep
lust,lust
wunderschön,beautiful
witzig,funny
nick,nick
zerstört,destroyed
übrigens,by the way
willen,want
heim,heim
richtigen,right
deines,yours
namens,On behalf of
zeigt,shows
geliebt,loved
gehören,belong
brachte,brought
herrn,Mr
blick,blick
besuch,visit
bewegen,move
haare,hair
antworten,answer
präsident,president
sagtest,you said
hoffnung,hope
stecken,put
lebe,live
rechts,right
interessant,interesting
entscheiden,decide
miteinander,each other
meint,means
liebst,love
bleibst,stay
kümmere,take care
wohnen,reside
weder,neither
kaputt,broken
bekomme,get
flugzeug,airplane
vergangenheit,past
anderer,another
zweite,second
armee,army
jim,jim
tee,tee
entweder,either
weiss,weiss
don,don
detective,detective
aufhalten,stop
stellt,provides
verspreche,promise
überrascht,surprised
sauber,sauber
hau,this
mark,mark
schlag,hit
sheriff,sheriff
untertitel,subtitle
setzt,puts
frag,frag
vaters,father
nervös,nervous
gesellschaft,gesellschaft
verstecken,hide
schuldig,guilty
hals,hals
schützen,protect
besuchen,visit
of,of
passen,to fit
überleben,survive
erhalten,receive
teilen,split
gebäude,building
schicksal,fate
zeichen,sign
richter,richter
besorgt,worried
küche,kitchen
lief,lief
vergnügen,enjoyment
wüsste,knew
volk,volk
lhr,lhr
herausfinden,find out
königin,queen
soldaten,soldiers
feiern,celebrate
situation,situation
lag,lag
gelassen,calmly
allerdings,however
soweit,so far
gefahren,driven
verstand,mind
bord,bord
schönes,beautiful
jimmy,jimmy
billy,billy
angefangen,begun
lee,lee
fühlst,feel
bob,bob
mussten,had to
rat,rat
worauf,what
gebeten,requested
tony,tony
kamera,camera
achtung,danger
lieutenant,lieutenant
ganzes,whole
schuhe,shoes
sarah,sarah
glückwunsch,congratulations
niemandem,no one
gibst,give
statt,instead of
übernehmen,take over
gegend,area
wald,wald
al,al
la,the
nimmst,take
danny,danny
erkennen,recognize
glas,glas
falsche,wrong
verantwortlich,responsible
jesus,jesus
stöhnt,moans
herein,herein
kleid,a dress
zerstören,destroy
jawohl,yes indeed
london,london
gegessen,eaten
abendessen,dinner
gesetz,law
geholfen,helped
wohnt,lives
schritt,step
guck,look
aussieht,looks
beginnen,to start
dachten,thought
band,band
ungefähr,approximately
aufgabe,task
neun,neun
furchtbar,terrible
drinnen,inside
zuvor,before
charles,charles
freue,am happy
amerika,America
übrig,left over
spur,spur
falschen,wrong
sergeant,sergeant
melden,report
helfe,help
werfen,throw
bill,bill
haltet,hold
erinnert,remind
hängt,hangs
freude,joy
erschossen,shot
verzeihen,pardon
schwein,pig
uh,uh
monster,monster
entschieden,decided
mission,mission
verdammten,damn
brauch,needs
gewusst,known
vorne,in front
stopp,Stop
übel,bad
schlampe,slut
schöner,more beautiful
adresse,address
unsinn,nonsense
messer,messer
gesund,healthy
respekt,respect
pro,pro
leisten,afford
davor,before
richard,richard
bedeuten,mean
ball,ball
mitnehmen,take along
gespielt,played
to,to
schwierigkeiten,difficulties
hälfte,half
kannte,knew
stehe,stand
maria,maria
planeten,planets
schwanger,pregnant
gruppe,group
anna,anna
verhaftet,arrested
seines,his
irgendwelche,any
händen,hands
versteht,understands
drehen,turn
eis,eis
danken,thank you
erfolg,success
zufrieden,satisfied
schließen,close
besorgen,obtain
wochenende,weekend
worüber,about what
stimmen,voices
nehmt,take
martin,martin
m,m
witze,jokes
beine,legs
verbrechen,crime
bericht,message
nachts,at night
eurer,yours
schmerz,pain
klingelt,rings
position,position
echte,real
gleichen,same
fernsehen,TV
wünsche,wishes
schließlich,finally
gefangen,caught
schätzchen,baby
seh,seh
schwierig,difficult
angebot,offer
nah,nah
jane,jane
gewartet,waited
kümmert,takes care
ring,ring
rennen,run
lied,lied
eier,owner
welchen,which
sorry,sorry
fantastisch,fantastic
schaut,looks
hielt,held
falle,cases
drink,drink
insel,island
dauern,last
daher,therefore
zufällig,randomly
dorf,dorf
clark,clark
bewegt,emotional
mitten,mitten
bullen,bullen
feind,enemy
einverstanden,agreed
neuer,neuer
bauen,build
trägt,carries
hängen,hang
freunden,friends
deren,whose
halb,bad
verpasst,lost
sprach,spoke
leise,quiet
armen,armen
wusstest,you knew
fanden,found
unternehmen,company
träume,dreams
schläft,is sleeping
kostet,costs
spiele,games
unseres,ours
entlang,along
johnny,johnny
versprechen,promise
tiere,animals
freiheit,freedom
verdienen,to deserve
aha,aha
unterhalten,entertain
eingeladen,invited
schaden,damage
genannt,called
beenden,finish
ray,ray
geändert,changed
thomas,thomas
lächerlich,ridiculous
geschlagen,beaten
park,park
schätzen,treasure
männern,men
t,t
beginnt,begins
ehren,to honor
größte,largest
energie,energy
fleisch,meat
besonderes,special
besteht,consists
reichen,are sufficient
robert,robert
zeitung,zeitung
worum,what about
nachgedacht,thought about
betrunken,drunk
sowas,like this
patienten,patients
gespräch,conversation
leiden,leiden
taxi,taxi
tötet,kills
see,see
unterschied,difference
wind,wind
singt,sings
schreien,scream
daniel,daniel
sahen,saw
wand,wand
bus,bus
lhre,For free
angriff,attack
verhalten,behave
loch,loch
interesse,interest
treten,step
quatsch,nonsense
trifft,meets
polizist,police officer
blumen,flowers
neuigkeiten,news
bringst,bring
flasche,bottle
rief,shouted
schuss,shot
fassen,grasp
meer,more
konntest,could
schafft,creates
maschine,machine
spreche,speak
bein,bein
eddie,eddie
bekommst,get
verbringen,spend
bücher,Books
blöd,stupid
frühstück,breakfast
tommy,tommy
meter,meter
bilder,pictures
aufpassen,watch out
claire,claire
dessen,whose
muß,must
freuen,be happy
engel,engel
offenbar,apparently
gelegenheit,opportunity
fang,fang
lüge,lie
ohren,ears
au,au
angetan,impressed
beeil,beeil
brüder,brothers
zeitpunkt,time
keinem,no one
ecke,corner
brücke,bridge
druck,pressure
mitgebracht,brought along
seufzt,sighs
date,date
haufen,heap
oma,own
auftrag,order
leer,file
entkommen,escape
bobby,bobby
weißen,white
lösung,solution
wart,wart
pause,pause
irre,crazy
gebrochen,Broken
weinen,cry
nutzen,to use
wünschen,wish
fragt,asks
maul,maul
verantwortung,responsibility
schloss,schloss
hut,hut
lächeln,smile
ryan,ryan
red,red
grad,grad
zweiten,second
hinaus,out
mitkommen,come along
vorhin,earlier
fahrt,drive
gemeint,meant
ernsthaft,seriously
gebaut,built
bombe,bomb
hasst,hates
versteh,understand
kosten,cost
zeige,show
traf,traf
eigenes,own
haar,her
fragte,asked
jason,jason
operation,operation
befehle,commands
schmerzen,pains
erklärt,explained
steve,steve
dach,roof
folge,consequence
gelaufen,ran
schwarze,black
dankbar,thankful
gehirn,brain
töte,kill
mädels,girls
mut,mut
heilige,saint
laura,laura
tier,tier
system,system
mannes,man
wahnsinn,craziness
nee,nee
rose,rose
club,club
geschlossen,closed
hintern,butt
is,is
thema,theme
fiel,fell
gehalten,held
dorthin,there
urlaub,vacation
steig,stepped
vorwärts,forward
überprüfen,check
besseres,better
beweis,proof
baum,baum
gebt,give
funktionieren,function
anscheinend,apparently
lehrer,lehrer
hoffen,hope
bessere,better
isst,eats
nachmittag,afternoon
nem,no
risiko,risk
chuck,chuck
knast,prison
entschuldigt,sorry
gilt,gilt
held,held
daraus,from it
erstes,first
fräulein,young lady
rachel,rachel
prima,prima
brauchte,needed
gewalt,force
dean,dean
liebes,Dear
schaffst,create
nachdenken,ponder
tor,tor
erfahrung,experience
pläne,plans
jagen,to hunt
katze,cat
runde,round
deutsche,deutsche
schwanz,tail
taten,did
lord,lord
dringend,urgent
commander,commander
großvater,grandfather
sommer,sommer
gezeigt,shown
hinterlassen,leave behind
gewissen,conscience
getrunken,drank
wahre,real
luke,luke
kunden,customers
kate,kate
zeugen,witness
geplant,planned
amanda,amanda
erreicht,reached
stören,disturb
stein,stein
atmen,breathe
hose,hose
weiße,white
sprichst,speak
größer,greater
city,city
prinz,prinz
behandelt,treated
tote,tote
überlegen,superior
karten,cards
it,it
d,d
restaurant,restaurant
welchem,which one
roger,roger
natur,nature
carter,carter
emily,emily
mami,mami
verschwindet,disappears
lautet,is
streit,streit
küssen,kiss
sprich,say
längst,a long time ago
fängt,catches
drüber,over it
gingen,used to go
erlaubt,allowed
einzigen,single
schmeckt,tastes
kugel,kugel
normalerweise,normally
schwarzen,black
rauf,rauf
flug,flight
beruhigen,calm
walter,walter
halbe,half
dan,and
geschieht,happens
einiges,some
entdeckt,discovered
morgens,In the morning
schlechter,worse
vollkommen,completely
gelogen,lied
verfolgt,tracked
college,college
weiteren,further
chris,chris
louis,louis
eh,eh
schwert,sword
hunde,dogs
steigen,climb
verdammter,damned
dürfte,should
riecht,smells
labor,labor
bat,bat
tim,tim
arthur,arthur
mindestens,at least
eurem,yours
füße,feet
stehst,stand
erschießen,shoot
kuchen,cake
versuchte,tried
zustand,condition
gäste,Guests
farbe,color
van,van
einigen,some
zufall,coincidence
garten,garten
junger,younger
autos,autos
abgesehen,apart
fair,fair
vertraut,trusted
koffer,suitcase
hieß,was called
kurs,course
wirkt,works
idioten,idiots
netter,netter
seitdem,since
angegriffen,attacked
geschichten,stories
wahnsinnig,insane
ähnlich,similar
lily,lily
aufgeben,give up
england,england
entführt,kidnapped
ms.,ms.
mistkerl,mistkerl
ner,ner
geschossen,shot
lager,lager
besprechen,discuss
reihe,row
polizisten,police officers
vogel,vogel
legt,lays
strand,strand
amerikaner,American
schwarz,schwarz
fern,fern
fick,got
scherz,hoax
san,san
erzählte,told
wichser,wichser
jake,jake
langweilig,boring
geschäfte,businesses
my,my
kapiert,Got it
nachher,afterward
verlangt,demanded
schlägt,beats
überzeugt,convinced
irgendjemand,anyone
rot,rot
soldat,soldier
vorbereitet,prepared
geschah,happened
reisen,travel
termin,deadline
gang,gang
stehlen,steal
rechte,right
rache,ripped off
bemerkt,noticed
frankreich,France
stört,disturbs
radio,radio
pferde,horses
vertrag,contract
arbeitest,work
dienst,employ
zählt,counts
fragst,you ask
wesen,beings
bürgermeister,mayor
emma,emma
fluss,flow
woran,what
geblieben,remained
durcheinander,mixed up
me,me
ted,ted
nette,cute
test,test
mister,mister
dadurch,through this
direktor,director
wichtiger,more important
kevin,kevin
scott,scott
karriere,career
akte,deed
erinnerung,memory
großmutter,grandmother
erzähle,tell
lösen,solve
bravo,bravo
griff,griff
verfolgen,track
zweifel,doubt
such,such
sprache,language
nerven,annoy
officer,officer
andy,andy
langer,langer
ziehe,pull
entlassen,dismissed
zweimal,twice
abholen,pick up
washington,washington
kollegen,colleagues
doc,doc
fass,barrel
szene,scene
robin,robin
scheinen,seem
bösen,evil
schaffe,create
pflicht,duty
wache,guard
neulich,recently
beeilen,hurry up
